Date,Open,High,Low,Close,Adj Close,Volume
2019-12-31,4.160000,4.260000,4.140000,4.220000,3.944782,232500
2020-01-02,4.290000,4.370000,4.170000,4.270000,3.991522,142800
2020-01-03,4.220000,4.320000,4.180000,4.280000,4.000870,141500
2020-01-06,4.230000,4.460000,4.200000,4.450000,4.159782,118500
2020-01-07,4.440000,4.450000,4.310000,4.390000,4.103695,104500
2020-01-08,4.360000,4.450000,4.330000,4.340000,4.056957,213400
2020-01-09,4.350000,4.350000,4.110000,4.120000,3.851304,196000
2020-01-10,4.160000,4.160000,3.950000,4.040000,3.776522,383200
2020-01-13,4.050000,4.130000,3.990000,4.110000,3.841957,223600
2020-01-14,4.120000,4.400000,4.050000,4.310000,4.028913,452600
2020-01-15,4.350000,4.790000,4.300000,4.760000,4.449565,354600
2020-01-16,4.790000,4.790000,4.470000,4.580000,4.281304,373100
2020-01-17,4.640000,4.650000,4.510000,4.550000,4.253261,206600
2020-01-21,4.570000,4.570000,4.370000,4.480000,4.187826,181700
2020-01-22,4.520000,4.530000,4.440000,4.470000,4.178478,99000
2020-01-23,4.470000,4.590000,4.340000,4.560000,4.262609,206900
2020-01-24,4.590000,4.590000,4.220000,4.220000,3.944782,195000
2020-01-27,4.240000,4.240000,4.110000,4.130000,3.860652,111800
2020-01-28,4.210000,4.220000,4.110000,4.200000,3.926087,120800
2020-01-29,4.200000,4.270000,4.100000,4.120000,3.851304,166900
2020-01-30,4.100000,4.140000,3.940000,4.050000,3.785870,388100
2020-01-31,4.040000,4.070000,3.970000,4.040000,3.776522,185700
2020-02-03,4.050000,4.310000,4.050000,4.190000,3.916739,187600
2020-02-04,4.260000,4.450000,4.250000,4.350000,4.066304,297300
2020-02-05,4.500000,4.720000,4.130000,4.170000,3.898044,537600
2020-02-06,4.110000,4.200000,4.000000,4.140000,3.870000,516800
2020-02-07,4.160000,4.190000,4.050000,4.120000,3.851304,174900
2020-02-10,4.080000,4.120000,3.950000,4.040000,3.776522,305800
2020-02-11,4.030000,4.160000,3.990000,4.130000,3.860652,156200
2020-02-12,4.170000,4.270000,4.110000,4.250000,3.972826,146400
2020-02-13,4.260000,4.370000,4.220000,4.270000,3.991522,185300
2020-02-14,4.250000,4.260000,4.070000,4.100000,3.832609,189500
2020-02-18,4.100000,4.160000,4.050000,4.120000,3.851304,101000
2020-02-19,4.150000,4.340000,4.120000,4.270000,3.991522,170800
2020-02-20,4.260000,4.380000,4.250000,4.300000,4.019566,136000
2020-02-21,4.300000,4.300000,4.090000,4.100000,3.832609,116000
2020-02-24,4.060000,4.110000,4.000000,4.080000,3.813913,222400
2020-02-25,4.110000,4.110000,4.040000,4.050000,3.785870,226300
2020-02-26,4.060000,4.060000,3.850000,3.970000,3.711087,515600
2020-02-27,3.870000,4.020000,3.850000,3.890000,3.636305,303400
2020-02-28,3.800000,3.870000,3.600000,3.780000,3.533478,531100
2020-03-02,3.790000,3.840000,3.600000,3.640000,3.402609,299800
2020-03-03,3.770000,3.780000,3.530000,3.570000,3.337174,304700
2020-03-04,3.580000,3.580000,3.410000,3.520000,3.290435,198600
2020-03-05,3.480000,3.480000,3.230000,3.370000,3.150217,365900
2020-03-06,3.270000,3.330000,3.040000,3.070000,2.869783,306500
2020-03-09,2.920000,2.960000,2.630000,2.860000,2.673478,400900
2020-03-10,2.900000,2.980000,2.730000,2.780000,2.598696,162700
2020-03-11,2.740000,2.740000,2.400000,2.410000,2.252826,262700
2020-03-12,2.270000,2.270000,2.100000,2.110000,1.972391,315800
2020-03-13,2.160000,2.250000,1.960000,2.140000,2.000435,394200
2020-03-16,1.800000,2.190000,1.800000,2.090000,1.953696,244500
2020-03-17,2.020000,2.280000,1.940000,2.260000,2.112609,405600
2020-03-18,2.150000,2.210000,1.910000,2.000000,1.869565,252900
2020-03-19,1.990000,2.330000,1.930000,2.320000,2.168696,326400
2020-03-20,2.490000,2.550000,2.270000,2.530000,2.365000,348300
2020-03-23,2.620000,2.620000,2.380000,2.470000,2.308913,181900
2020-03-24,2.590000,2.890000,2.510000,2.850000,2.664130,243000
2020-03-25,2.740000,3.410000,2.610000,3.220000,3.010000,334200
2020-03-26,3.210000,3.370000,3.140000,3.340000,3.340000,353000
2020-03-27,3.190000,3.330000,3.040000,3.180000,3.180000,219700
2020-03-30,3.200000,3.200000,2.260000,2.400000,2.400000,660600
2020-03-31,2.410000,2.490000,2.300000,2.360000,2.360000,268600
2020-04-01,2.330000,2.330000,2.010000,2.020000,2.020000,280200
2020-04-02,2.020000,2.140000,1.990000,2.120000,2.120000,208000
2020-04-03,2.070000,2.080000,1.930000,2.020000,2.020000,133400
2020-04-06,2.210000,2.410000,2.110000,2.180000,2.180000,545800
2020-04-07,2.270000,2.280000,2.060000,2.140000,2.140000,292400
2020-04-08,2.090000,2.390000,2.090000,2.300000,2.300000,269700
2020-04-09,2.380000,2.820000,2.330000,2.690000,2.690000,483800
2020-04-13,2.610000,2.640000,2.290000,2.500000,2.500000,342400
2020-04-14,2.500000,2.520000,2.150000,2.200000,2.200000,392500
2020-04-15,2.200000,2.220000,2.020000,2.040000,2.040000,391000
2020-04-16,2.040000,2.080000,1.970000,2.080000,2.080000,440200
2020-04-17,2.170000,2.270000,2.020000,2.140000,2.140000,327700
2020-04-20,2.120000,2.150000,2.020000,2.060000,2.060000,219200
2020-04-21,2.040000,2.070000,1.980000,2.030000,2.030000,230300
2020-04-22,2.020000,2.080000,1.950000,1.990000,1.990000,273000
2020-04-23,1.980000,2.120000,1.970000,2.050000,2.050000,304000
2020-04-24,2.100000,2.100000,1.970000,2.020000,2.020000,216600
2020-04-27,2.050000,2.180000,2.030000,2.180000,2.180000,534500
2020-04-28,2.250000,2.350000,2.250000,2.310000,2.310000,642600
2020-04-29,2.370000,2.440000,2.300000,2.320000,2.320000,543500
2020-04-30,2.310000,2.310000,2.080000,2.100000,2.100000,354200
2020-05-01,2.200000,2.200000,1.960000,2.110000,2.110000,252800
2020-05-04,2.060000,2.100000,1.870000,2.040000,2.040000,172100
2020-05-05,2.000000,2.050000,1.980000,2.030000,2.030000,145200
2020-05-06,2.000000,2.080000,1.950000,2.000000,2.000000,210500
